REF_DATE;GEO;DGUID;Month of birth;Characteristics;UOM;UOM_ID;SCALAR_FACTOR;SCALAR_ID;VECTOR;COORDINATE;VALUE;STATUS;SYMBOL;TERMINATED;DECIMALS
2001;Canada, place of residence of mother;2016A000011124;Month of birth, January;Number of live births;Number;223;units;0;v21400538;01.02.2001;26823;;;;0
2002;Canada, place of residence of mother;2016A000011124;Month of birth, January;Number of live births;Number;223;units;0;v21400538;01.02.2001;26853;;;;0
2003;Canada, place of residence of mother;2016A000011124;Month of birth, January;Number of live births;Number;223;units;0;v21400538;01.02.2001;26360;;;;0
2004;Canada, place of residence of mother;2016A000011124;Month of birth, January;Number of live births;Number;223;units;0;v21400538;01.02.2001;27145;;;;0
2005;Canada, place of residence of mother;2016A000011124;Month of birth, January;Number of live births;Number;223;units;0;v21400538;01.02.2001;27338;;;;0
2006;Canada, place of residence of mother;2016A000011124;Month of birth, January;Number of live births;Number;223;units;0;v21400538;01.02.2001;28247;;;;0
2007;Canada, place of residence of mother;2016A000011124;Month of birth, January;Number of live births;Number;223;units;0;v21400538;01.02.2001;29272;;;;0
2008;Canada, place of residence of mother;2016A000011124;Month of birth, January;Number of live births;Number;223;units;0;v21400538;01.02.2001;30494;;;;0
2009;Canada, place of residence of mother;2016A000011124;Month of birth, January;Number of live births;Number;223;units;0;v21400538;01.02.2001;30667;;;;0
2010;Canada, place of residence of mother;2016A000011124;Month of birth, January;Number of live births;Number;223;units;0;v21400538;01.02.2001;30504;;;;0
2011;Canada, place of residence of mother;2016A000011124;Month of birth, January;Number of live births;Number;223;units;0;v21400538;01.02.2001;30367;;;;0
2012;Canada, place of residence of mother;2016A000011124;Month of birth, January;Number of live births;Number;223;units;0;v21400538;01.02.2001;30697;;;;0
2013;Canada, place of residence of mother;2016A000011124;Month of birth, January;Number of live births;Number;223;units;0;v21400538;01.02.2001;31165;;;;0
2014;Canada, place of residence of mother;2016A000011124;Month of birth, January;Number of live births;Number;223;units;0;v21400538;01.02.2001;31332;;;;0
2015;Canada, place of residence of mother;2016A000011124;Month of birth, January;Number of live births;Number;223;units;0;v21400538;01.02.2001;31032;;;;0
2016;Canada, place of residence of mother;2016A000011124;Month of birth, January;Number of live births;Number;223;units;0;v21400538;01.02.2001;30629;;;;0
2017;Canada, place of residence of mother;2016A000011124;Month of birth, January;Number of live births;Number;223;units;0;v21400538;01.02.2001;30349;;;;0
2018;Canada, place of residence of mother;2016A000011124;Month of birth, January;Number of live births;Number;223;units;0;v21400538;01.02.2001;30516;;;;0
2019;Canada, place of residence of mother;2016A000011124;Month of birth, January;Number of live births;Number;223;units;0;v21400538;01.02.2001;30165;;;;0
2020;Canada, place of residence of mother;2016A000011124;Month of birth, January;Number of live births;Number;223;units;0;v21400538;01.02.2001;30164;;;;0
2021;Canada, place of residence of mother;2016A000011124;Month of birth, January;Number of live births;Number;223;units;0;v21400538;01.02.2001;27611;;;;0
1991;Canada, place of residence of mother;2016A000011124;Month of birth, February;Number of live births;Number;223;units;0;v21400540;01.03.2001;30345;;;;0
1992;Canada, place of residence of mother;2016A000011124;Month of birth, February;Number of live births;Number;223;units;0;v21400540;01.03.2001;31572;;;;0
1993;Canada, place of residence of mother;2016A000011124;Month of birth, February;Number of live births;Number;223;units;0;v21400540;01.03.2001;29601;;;;0
1994;Canada, place of residence of mother;2016A000011124;Month of birth, February;Number of live births;Number;223;units;0;v21400540;01.03.2001;29242;;;;0
1995;Canada, place of residence of mother;2016A000011124;Month of birth, February;Number of live births;Number;223;units;0;v21400540;01.03.2001;29076;;;;0
1996;Canada, place of residence of mother;2016A000011124;Month of birth, February;Number of live births;Number;223;units;0;v21400540;01.03.2001;28843;;;;0
1997;Canada, place of residence of mother;2016A000011124;Month of birth, February;Number of live births;Number;223;units;0;v21400540;01.03.2001;26621;;;;0
1998;Canada, place of residence of mother;2016A000011124;Month of birth, February;Number of live births;Number;223;units;0;v21400540;01.03.2001;26484;;;;0
1999;Canada, place of residence of mother;2016A000011124;Month of birth, February;Number of live births;Number;223;units;0;v21400540;01.03.2001;25691;;;;0
2000;Canada, place of residence of mother;2016A000011124;Month of birth, February;Number of live births;Number;223;units;0;v21400540;01.03.2001;26245;;;;0
2001;Canada, place of residence of mother;2016A000011124;Month of birth, February;Number of live births;Number;223;units;0;v21400540;01.03.2001;25447;;;;0
2002;Canada, place of residence of mother;2016A000011124;Month of birth, February;Number of live births;Number;223;units;0;v21400540;01.03.2001;24814;;;;0
2003;Canada, place of residence of mother;2016A000011124;Month of birth, February;Number of live births;Number;223;units;0;v21400540;01.03.2001;24980;;;;0
2004;Canada, place of residence of mother;2016A000011124;Month of birth, February;Number of live births;Number;223;units;0;v21400540;01.03.2001;25815;;;;0
2005;Canada, place of residence of mother;2016A000011124;Month of birth, February;Number of live births;Number;223;units;0;v21400540;01.03.2001;25123;;;;0
2006;Canada, place of residence of mother;2016A000011124;Month of birth, February;Number of live births;Number;223;units;0;v21400540;01.03.2001;26253;;;;0
2007;Canada, place of residence of mother;2016A000011124;Month of birth, February;Number of live births;Number;223;units;0;v21400540;01.03.2001;27121;;;;0
2008;Canada, place of residence of mother;2016A000011124;Month of birth, February;Number of live births;Number;223;units;0;v21400540;01.03.2001;29391;;;;0
