REF_DATE;GEO;DGUID;Indicator;UOM;UOM_ID;SCALAR_FACTOR;SCALAR_ID;VECTOR;COORDINATE;VALUE;STATUS;SYMBOL;TERMINATED;DECIMALS
2010;Canada;2016A000011124;Crude marriage rate;Rates per 1,000 population;267;units;0;v1446862467;01.июн;04.мар;;;;1
2011;Canada;2016A000011124;Crude marriage rate;Rates per 1,000 population;267;units;0;v1446862467;01.июн;04.фев;;;;1
2012;Canada;2016A000011124;Crude marriage rate;Rates per 1,000 population;267;units;0;v1446862467;01.июн;04.фев;;;;1
2013;Canada;2016A000011124;Crude marriage rate;Rates per 1,000 population;267;units;0;v1446862467;01.июн;04.янв;;;;1
2014;Canada;2016A000011124;Crude marriage rate;Rates per 1,000 population;267;units;0;v1446862467;01.июн;04.фев;;;;1
2015;Canada;2016A000011124;Crude marriage rate;Rates per 1,000 population;267;units;0;v1446862467;01.июн;04.фев;;;;1
2016;Canada;2016A000011124;Crude marriage rate;Rates per 1,000 population;267;units;0;v1446862467;01.июн;04.янв;;;;1
2017;Canada;2016A000011124;Crude marriage rate;Rates per 1,000 population;267;units;0;v1446862467;01.июн;04.янв;;;;1
2018;Canada;2016A000011124;Crude marriage rate;Rates per 1,000 population;267;units;0;v1446862467;01.июн;04.янв;;;;1
2019;Canada;2016A000011124;Crude marriage rate;Rates per 1,000 population;267;units;0;v1446862467;01.июн;03.сен;;;;1
2020;Canada;2016A000011124;Crude marriage rate;Rates per 1,000 population;267;units;0;v1446862467;01.июн;02.июн;;;;1
1991;Canada;2016A000011124;Total first-marriage rate before age 50, all genders;Rates per 1,000 population;267;units;0;v1446862518;01.июл;571.5;;;;1
1992;Canada;2016A000011124;Total first-marriage rate before age 50, all genders;Rates per 1,000 population;267;units;0;v1446862518;01.июл;548.2;;;;1
1993;Canada;2016A000011124;Total first-marriage rate before age 50, all genders;Rates per 1,000 population;267;units;0;v1446862518;01.июл;535.1;;;;1
1994;Canada;2016A000011124;Total first-marriage rate before age 50, all genders;Rates per 1,000 population;267;units;0;v1446862518;01.июл;542.7;;;;1
1995;Canada;2016A000011124;Total first-marriage rate before age 50, all genders;Rates per 1,000 population;267;units;0;v1446862518;01.июл;546.0;;;;1
1996;Canada;2016A000011124;Total first-marriage rate before age 50, all genders;Rates per 1,000 population;267;units;0;v1446862518;01.июл;532.4;;;;1
1997;Canada;2016A000011124;Total first-marriage rate before age 50, all genders;Rates per 1,000 population;267;units;0;v1446862518;01.июл;524.7;;;;1
1998;Canada;2016A000011124;Total first-marriage rate before age 50, all genders;Rates per 1,000 population;267;units;0;v1446862518;01.июл;526.7;;;;1
1999;Canada;2016A000011124;Total first-marriage rate before age 50, all genders;Rates per 1,000 population;267;units;0;v1446862518;01.июл;538.7;;;;1
2000;Canada;2016A000011124;Total first-marriage rate before age 50, all genders;Rates per 1,000 population;267;units;0;v1446862518;01.июл;538.3;;;;1
2001;Canada;2016A000011124;Total first-marriage rate before age 50, all genders;Rates per 1,000 population;267;units;0;v1446862518;01.июл;500.8;;;;1
2002;Canada;2016A000011124;Total first-marriage rate before age 50, all genders;Rates per 1,000 population;267;units;0;v1446862518;01.июл;500.0;;;;1
2003;Canada;2016A000011124;Total first-marriage rate before age 50, all genders;Rates per 1,000 population;267;units;0;v1446862518;01.июл;497.7;;;;1
2004;Canada;2016A000011124;Total first-marriage rate before age 50, all genders;Rates per 1,000 population;267;units;0;v1446862518;01.июл;494.0;;;;1
2005;Canada;2016A000011124;Total first-marriage rate before age 50, all genders;Rates per 1,000 population;267;units;0;v1446862518;01.июл;495.2;;;;1
2006;Canada;2016A000011124;Total first-marriage rate before age 50, all genders;Rates per 1,000 population;267;units;0;v1446862518;01.июл;502.5;;;;1
2007;Canada;2016A000011124;Total first-marriage rate before age 50, all genders;Rates per 1,000 population;267;units;0;v1446862518;01.июл;493.2;;;;1
2008;Canada;2016A000011124;Total first-marriage rate before age 50, all genders;Rates per 1,000 population;267;units;0;v1446862518;01.июл;486.6;;;;1
2009;Canada;2016A000011124;Total first-marriage rate before age 50, all genders;Rates per 1,000 population;267;units;0;v1446862518;01.июл;478.3;;;;1
2010;Canada;2016A000011124;Total first-marriage rate before age 50, all genders;Rates per 1,000 population;267;units;0;v1446862518;01.июл;470.9;;;;1
2011;Canada;2016A000011124;Total first-marriage rate before age 50, all genders;Rates per 1,000 population;267;units;0;v1446862518;01.июл;463.1;;;;1
2012;Canada;2016A000011124;Total first-marriage rate before age 50, all genders;Rates per 1,000 population;267;units;0;v1446862518;01.июл;467.8;;;;1
2013;Canada;2016A000011124;Total first-marriage rate before age 50, all genders;Rates per 1,000 population;267;units;0;v1446862518;01.июл;451.5;;;;1
2014;Canada;2016A000011124;Total first-marriage rate before age 50, all genders;Rates per 1,000 population;267;units;0;v1446862518;01.июл;464.5;;;;1
2015;Canada;2016A000011124;Total first-marriage rate before age 50, all genders;Rates per 1,000 population;267;units;0;v1446862518;01.июл;467.4;;;;1
2016;Canada;2016A000011124;Total first-marriage rate before age 50, all genders;Rates per 1,000 population;267;units;0;v1446862518;01.июл;464.5;;;;1
2017;Canada;2016A000011124;Total first-marriage rate before age 50, all genders;Rates per 1,000 population;267;units;0;v1446862518;01.июл;457.9;;;;1
2018;Canada;2016A000011124;Total first-marriage rate before age 50, all genders;Rates per 1,000 population;267;units;0;v1446862518;01.июл;456.5;;;;1
2019;Canada;2016A000011124;Total first-marriage rate before age 50, all genders;Rates per 1,000 population;267;units;0;v1446862518;01.июл;435.4;;;;1
2020;Canada;2016A000011124;Total first-marriage rate before age 50, all genders;Rates per 1,000 population;267;units;0;v1446862518;01.июл;293.2;;;;1
1991;Canada;2016A000011124;Total first-marriage rate before age 80, all genders;Rates per 1,000 population;267;units;0;v1446862563;01.окт;577.6;;;;1
1992;Canada;2016A000011124;Total first-marriage rate before age 80, all genders;Rates per 1,000 population;267;units;0;v1446862563;01.окт;554.8;;;;1
1993;Canada;2016A000011124;Total first-marriage rate before age 80, all genders;Rates per 1,000 population;267;units;0;v1446862563;01.окт;540.9;;;;1
1994;Canada;2016A000011124;Total first-marriage rate before age 80, all genders;Rates per 1,000 population;267;units;0;v1446862563;01.окт;548.7;;;;1
1995;Canada;2016A000011124;Total first-marriage rate before age 80, all genders;Rates per 1,000 population;267;units;0;v1446862563;01.окт;552.0;;;;1
1996;Canada;2016A000011124;Total first-marriage rate before age 80, all genders;Rates per 1,000 population;267;units;0;v1446862563;01.окт;538.5;;;;1
1997;Canada;2016A000011124;Total first-marriage rate before age 80, all genders;Rates per 1,000 population;267;units;0;v1446862563;01.окт;530.7;;;;1
1998;Canada;2016A000011124;Total first-marriage rate before age 80, all genders;Rates per 1,000 population;267;units;0;v1446862563;01.окт;533.0;;;;1
1999;Canada;2016A000011124;Total first-marriage rate before age 80, all genders;Rates per 1,000 population;267;units;0;v1446862563;01.окт;544.7;;;;1
2000;Canada;2016A000011124;Total first-marriage rate before age 80, all genders;Rates per 1,000 population;267;units;0;v1446862563;01.окт;545.0;;;;1
2001;Canada;2016A000011124;Total first-marriage rate before age 80, all genders;Rates per 1,000 population;267;units;0;v1446862563;01.окт;507.6;;;;1
2002;Canada;2016A000011124;Total first-marriage rate before age 80, all genders;Rates per 1,000 population;267;units;0;v1446862563;01.окт;506.4;;;;1
2003;Canada;2016A000011124;Total first-marriage rate before age 80, all genders;Rates per 1,000 population;267;units;0;v1446862563;01.окт;506.9;;;;1
2004;Canada;2016A000011124;Total first-marriage rate before age 80, all genders;Rates per 1,000 population;267;units;0;v1446862563;01.окт;504.4;;;;1
2005;Canada;2016A000011124;Total first-marriage rate before age 80, all genders;Rates per 1,000 population;267;units;0;v1446862563;01.окт;505.8;;;;1
2006;Canada;2016A000011124;Total first-marriage rate before age 80, all genders;Rates per 1,000 population;267;units;0;v1446862563;01.окт;513.8;;;;1
2007;Canada;2016A000011124;Total first-marriage rate before age 80, all genders;Rates per 1,000 population;267;units;0;v1446862563;01.окт;504.0;;;;1
2008;Canada;2016A000011124;Total first-marriage rate before age 80, all genders;Rates per 1,000 population;267;units;0;v1446862563;01.окт;497.7;;;;1
2009;Canada;2016A000011124;Total first-marriage rate before age 80, all genders;Rates per 1,000 population;267;units;0;v1446862563;01.окт;489.7;;;;1
2010;Canada;2016A000011124;Total first-marriage rate before age 80, all genders;Rates per 1,000 population;267;units;0;v1446862563;01.окт;483.0;;;;1
2011;Canada;2016A000011124;Total first-marriage rate before age 80, all genders;Rates per 1,000 population;267;units;0;v1446862563;01.окт;475.4;;;;1
2012;Canada;2016A000011124;Total first-marriage rate before age 80, all genders;Rates per 1,000 population;267;units;0;v1446862563;01.окт;481.2;;;;1
2013;Canada;2016A000011124;Total first-marriage rate before age 80, all genders;Rates per 1,000 population;267;units;0;v1446862563;01.окт;465.7;;;;1
2014;Canada;2016A000011124;Total first-marriage rate before age 80, all genders;Rates per 1,000 population;267;units;0;v1446862563;01.окт;479.4;;;;1
